;planta;elementosivi;planta_busqueda;planta_cat;elementoscat
5;BAJO;262;BAJO;BJ;
17;BJO;32;BJO;BJ;
18;PB;32;PB;BJ;
20;ATICO;17;ATICO;AT;
29;ST;3;ST;SS;
30;SOT;3;SOT;SS;
31;bajo;3;bajo;BJ;
32;ENTR;2;ENTR;EN;
33;ENT;2;ENT;EN;
35;S1;2;S1;SS;
38;ENTLO;1;ENTLO;EN;
44;S;1;0S;SS;
45;ATIC;1;ATIC;AT;
47;pb;1;pb;BJ;
49;LOCAL;1;LOCAL;LO;
50;SO;1;SO;SS;
51;SOTA;1;SOTA;SS;
57;ENTPT;1;ENTPT;EP;
58;BJAO;1;BJAO;BJ;
60;ENT-1;1;ENT1;EN;
61;atico;1;atico;AT;
64;BAJA;1;BAJA;BJ;
65;bj;1;bj;BJ;
66;8ยบB;1;8B;08;
68;1-B;1;1B;01;
69;B-EN;1;BEN;EN;
71;5 D;1;5D;05;
72;1ยบ d;1;1d;01;
